id,name,category,province,district,description,best_time_to_visit,entry_fee,duration,activities/0,activities/1,activities/2,nearby_attractions/0,nearby_attractions/1,nearby_attractions/2,coordinates/lat,coordinates/lon,activities/3,nearby_attractions/3
dest_013,Sinharaja Forest Reserve,Wildlife & Nature,Sabaragamuwa Province,Ratnapura,Last viable rainforest in Sri Lanka with extraordinary biodiversity. UNESCO World Heritage Site and Biosphere Reserve. Over 60% endemic species of trees and wildlife.,"January to April, August to September",USD 10-15 for foreigners,Full day trek,rainforest trekking,bird watching,wildlife spotting,Ratnapura gem mines,Udawalawe National Park,Belihuloya,6.4008,80.4005,research,
dest_014,Arugam Bay,Beaches & Coastal,Eastern Province,Ampara,World-renowned surfing destination with consistent waves and laid-back beach culture. Crescent-shaped bay with golden sand beaches and excellent surf points.,April to October (surf season),Free,3-7 days,surfing,swimming,beach relaxation,Pottuvil Lagoon,Kumana National Park,Panama Beach,6.8408,81.8361,wildlife safaris nearby,
dest_015,Adam's Peak (Sri Pada),Religious & Nature,Sabaragamuwa Province,Ratnapura,Sacred mountain pilgrimage site revered by multiple religions. Features sacred footprint at summit. Popular for sunrise climbs with spectacular views.,December to May (pilgrimage season),Free,5-7 hours round trip,pilgrimage,hiking,sunrise viewing,Maskeliya Reservoir,Dalhousie town,Carney Estate,6.8094,80.4994,photography,
dest_016,Trincomalee,Beaches & Historical,Eastern Province,Trincomalee,"Natural deep-water harbor with pristine beaches, coral reefs, and historical sites. Famous for whale watching, diving, and Koneswaram Temple perched on cliff.",May to October,Free (beaches),2-4 days,beach activities,diving,snorkeling,Nilaveli Beach,Pigeon Island,Koneswaram Temple,8.5874,81.2152,whale watching,Fort Frederick
dest_017,Bentota Beach,Beaches & Water Sports,Western Province,Galle,Popular beach resort destination with calm waters ideal for water sports. Bentota River meets ocean creating unique ecosystem. Luxury hotels and water activity centers.,November to April,Free,2-5 days,water skiing,jet skiing,river safari,Brief Garden,Lunuganga Estate,Kosgoda Turtle Hatchery,6.4258,79.9951,swimming,
dest_018,Hikkaduwa,Beaches & Marine,Southern Province,Galle,"Vibrant beach town famous for coral reefs, sea turtles, and surfing. Coral sanctuary with glass-bottom boat tours. Active nightlife and beachfront restaurants.",November to April,Free,2-4 days,snorkeling,diving,surfing,Hikkaduwa Coral Sanctuary,Tsunami Museum,Gangarama Maha Vihara,6.1408,80.1036,turtle watching,
dest_019,Jaffna,Cultural & Historical,Northern Province,Jaffna,"Cultural capital of Sri Lankan Tamil community with distinct cuisine, architecture, and traditions. Ancient temples, Dutch fort, and unique cultural experiences.",November to March,N/A (city),2-3 days,cultural exploration,temple visits,local cuisine tasting,Jaffna Fort,Nallur Kandaswamy Temple,Casuarina Beach,9.6615,80.0255,,Delft Island
dest_020,Wilpattu National Park,Wildlife & Nature,North Western Province,Puttalam,"Largest national park in Sri Lanka with unique 'willus' (natural lakes). Dense forest and scrubland habitat for leopards, elephants, and sloth bears.",February to October,USD 25-30 per person plus jeep charges,Half to full day safari,wildlife safari,leopard spotting,bird watching,Anuradhapura,Kalpitiya,Puttalam Lagoon,8.4833,80.0167,camping,
dest_021,Nine Arch Bridge,Historical & Scenic,Uva Province,Badulla,Iconic colonial-era railway bridge built entirely of stone and bricks without steel. Set amidst tea plantations and jungle. Popular photography spot especially during train crossings.,"Year-round, early morning recommended",Free,1-2 hours,photography,train watching,walking,Ella town,Little Adam's Peak,Ravana Falls,6.8714,81.0597,,
dest_022,Pinnawala Elephant Orphanage,Wildlife & Conservation,Sabaragamuwa Province,Kegalle,Conservation center housing orphaned and injured elephants. Famous for elephant bathing sessions in Maha Oya River. Breeding program for Asian elephants.,"Year-round, bathing times 10am and 2pm",LKR 3000 for foreigners,2-3 hours,elephant watching,feeding sessions,river bathing observation,Millennium Elephant Foundation,Kegalle town,Royal Botanical Gardens,7.2974,80.3893,,
dest_023,Minneriya National Park,Wildlife & Nature,North Central Province,Polonnaruwa,Famous for 'The Gathering' - largest meeting of Asian elephants in world (July-September). Ancient Minneriya Tank attracts hundreds of elephants during dry season.,July to September for elephant gathering,USD 25 per person plus jeep charges,Half day safari,elephant watching,wildlife safari,bird watching,Polonnaruwa,Kaudulla National Park,Sigiriya,8.0333,80.8833,,
dest_024,Negombo,Beaches & Fishing,Western Province,Gampaha,"Historic fishing town near airport with Dutch colonial heritage. Active fish market, lagoon, and beach resorts. Gateway for many tourists arriving in Sri Lanka.",November to April,Free,1-2 days,beach relaxation,fish market visits,lagoon tours,Negombo Lagoon,Dutch Fort,St. Mary's Church,7.2083,79.8358,water sports,Muthurajawela Marsh
dest_025,Unawatuna,Beaches & Diving,Southern Province,Galle,Crescent-shaped bay with calm waters perfect for swimming. Coral reefs for snorkeling and diving. Vibrant backpacker scene with beachfront restaurants and bars.,November to April,Free,2-4 days,swimming,snorkeling,diving,Galle Fort,Jungle Beach,Japanese Peace Pagoda,6.0108,80.2497,beach relaxation,Rumassala
dest_026,Tangalle,Beaches & Nature,Southern Province,Hambantota,"Quiet coastal town with pristine beaches and relaxed atmosphere. Turtle nesting sites, lagoons, and unspoiled natural beauty. Less developed than other southern beaches.",December to April,Free,2-4 days,beach relaxation,turtle watching,surfing,Rekawa Beach,Mulkirigala Rock Temple,Kalametiya Bird Sanctuary,6.0235,80.7969,lagoon exploration,
dest_027,Knuckles Mountain Range,Hill Country & Trekking,Central Province,Matale,UNESCO World Heritage Site with unique biodiversity and dramatic landscapes. Named for resemblance to clenched knuckles. Popular trekking destination with multiple trails.,"January to March, August to September",USD 5-10 plus guide fees,1-3 days depending on trek,trekking,camping,bird watching,Corbet's Gap,Mini World's End,Riverston,7.45,80.7833,village tours,Tea plantations
dest_028,Matara,Coastal & Historical,Southern Province,Matara,"Southern coastal city with Dutch fort, beaches, and temples. Important transport hub with mix of colonial heritage and modern Sri Lankan culture.",December to March,Free (city),1-2 days,beach visits,historical exploration,temple tours,Matara Fort,Paravi Duwa Temple,Polhena Beach,5.9549,80.555,,Dondra Head Lighthouse
dest_029,Kalpitiya,Marine & Adventure,North Western Province,Puttalam,"Emerging destination famous for kitesurfing, dolphin and whale watching. Peninsula with lagoons on one side and ocean on other. Pristine beaches and water sports.","May to October for kitesurfing, November to April for dolphin watching",Free,2-4 days,kitesurfing,dolphin watching,snorkeling,Bar Reef,Dutch Fort,Wilpattu National Park,8.2333,79.7667,island hopping,
dest_030,Mihintale,Religious & Historical,North Central Province,Anuradhapura,"Sacred mountain where Buddhism was introduced to Sri Lanka in 3rd century BC. Ancient monastery complex with stupas, caves, and stone inscriptions. Over 1,800 steps to summit.","Year-round, especially June during Poson Poya",LKR 500 for foreigners,3-4 hours,pilgrimage,historical exploration,hiking,Anuradhapura,Aukana Buddha Statue,Avukana Tank,8.3508,80.5069,,
dest_031,Pigeon Island National Park,Marine & Nature,Eastern Province,Trincomalee,Marine national park with best coral reefs in Sri Lanka. Two rocky islets surrounded by clear turquoise waters. Excellent snorkeling and diving with diverse marine life.,May to September,USD 12-15 for foreigners,Half day,snorkeling,diving,swimming,Nilaveli Beach,Trincomalee,Uppuveli Beach,8.7167,81.2167,marine life observation,
dest_032,Ravana Falls,Nature & Scenic,Uva Province,Badulla,Popular waterfall on Colombo-Badulla highway near Ella. Named after legendary King Ravana. Multiple cascades create pool for swimming at base.,"Year-round, best during rainy season",Free,1 hour,waterfall viewing,photography,swimming,Ella town,Ravana Cave,Ella Rock,6.8503,81.0542,,
dest_033,Kandy Lake,Scenic & Cultural,Central Province,Kandy,Artificial lake in heart of Kandy created by last Sinhalese king. Scenic walking path around lake with views of Temple of Tooth and surrounding hills.,Year-round,Free,1-2 hours,walking,photography,bird watching,Temple of Tooth,Royal Palace,Udawattakele Forest Reserve,7.2906,80.6337,relaxation,
dest_034,Kaudulla National Park,Wildlife & Nature,North Central Province,Polonnaruwa,Alternative to Minneriya for elephant gathering. Ancient Kaudulla Tank attracts elephants and water birds. Part of elephant corridor connecting several national parks.,August to December,USD 25 per person plus jeep charges,Half day safari,elephant watching,wildlife safari,bird watching,Minneriya National Park,Polonnaruwa,Habarana,8.1667,80.85,,
dest_035,Weligama Bay,Beaches & Surfing,Southern Province,Matara,Sheltered bay ideal for beginner surfers with consistent gentle waves. Famous for stilt fishermen. Crescent beach with good swimming conditions.,November to April,Free,1-3 days,surfing lessons,swimming,stilt fishing photography,Mirissa,Taprobane Island,Matara,5.9667,80.4333,,
dest_036,Bundala National Park,Wildlife & Bird Sanctuary,Southern Province,Hambantota,"UNESCO Biosphere Reserve and important wetland for migratory waterbirds. Over 197 bird species including flamingos. Elephants, crocodiles, and sea turtles also present.",September to March for migratory birds,USD 15-20 per person plus jeep charges,Half day safari,bird watching,wildlife safari,photography,Yala National Park,Kirinda,Hambantota,6.2,81.2,,
dest_037,Habarana,Nature & Wildlife Hub,North Central Province,Anuradhapura,Central location for accessing Cultural Triangle sites and wildlife parks. Village atmosphere with eco-lodges and safari operators.,Year-round,N/A (village),2-3 days as base,wildlife safaris,cultural tours,village tours,Minneriya,Sigiriya,Polonnaruwa,8.0333,80.75,,Ritigala
dest_038,Peradeniya Royal Botanical Gardens,Nature & Gardens,Central Province,Kandy,"147-acre botanical garden with over 4,000 species of plants. Famous orchid collection, giant bamboo, and palm avenues. Historic gardens dating to 1821.",Year-round,LKR 2000 for foreigners,2-3 hours,garden walking,plant observation,photography,Kandy city,Temple of Tooth,Gadaladeniya Temple,7.2683,80.5981,picnicking,
dest_039,Pasikuda Beach,Beaches & Coastal,Eastern Province,Batticaloa,Shallow bay with calm waters extending 100 meters from shore. Safe swimming and water sports. Pristine white sand beach with turquoise waters.,April to November,Free,2-4 days,swimming,water sports,beach relaxation,Kalkudah Beach,Batticaloa town,Kallady Beach,7.9333,81.55,snorkeling,
dest_040,Mulkirigala Rock Temple,Religious & Historical,Southern Province,Hambantota,"Ancient rock temple with seven levels reached by stone steps. Cave temples with Buddha statues and murals dating back 2,000 years. Panoramic views from summit.",Year-round,LKR 500 for foreigners,2-3 hours,temple exploration,hiking,photography,Tangalle,Rekawa Beach,Weerawila Lake,6.1461,80.7331,historical learning,
dest_041,Ritigala Forest Monastery,Historical & Nature,North Central Province,Anuradhapura,Ancient Buddhist monastery ruins in strict nature reserve. Mysterious forest hermitage with unique architecture. Rich biodiversity with medicinal plants.,Year-round,USD 10 for foreigners,2-3 hours,forest trekking,ruins exploration,meditation,Habarana,Anuradhapura,Sigiriya,8.1167,80.6833,nature walks,
dest_042,Koggala Lake,Nature & Water Activities,Southern Province,Galle,Large coastal lake with islands containing temples and cinnamon plantations. Rich birdlife and mangrove ecosystems. Boat tours available.,November to April,Boat tour charges apply,2-3 hours,boat tours,bird watching,cinnamon island visits,Galle Fort,Unawatuna,Martin Wickramasinghe Museum,5.9833,80.3167,temple visits,
dest_043,Batticaloa,Coastal & Cultural,Eastern Province,Batticaloa,"Eastern coastal city with Dutch fort, lagoon, and unique cultural heritage. Famous for singing fish phenomenon. Gateway to eastern beaches.",May to September,Free (city),1-2 days,lagoon tours,fort visits,beach exploration,Kallady Beach,Batticaloa Lagoon,Pasikuda,7.731,81.6747,cultural immersion,Kalkudah
dest_044,Kumana National Park,Wildlife & Birds,Eastern Province,Ampara,"Important bird sanctuary and extension of Yala National Park. Kumana Villu wetland attracts thousands of waterbirds. Elephants, leopards, and crocodiles also present.",May to July for birds,USD 20-25 per person plus jeep charges,Half day safari,bird watching,wildlife safari,photography,Arugam Bay,Panama,Yala National Park,6.5667,81.6833,,
dest_045,Yapahuwa Rock Fortress,Historical & Archaeological,North Western Province,Kurunegala,13th century rock fortress and former capital. Impressive ornamental stairway and stone carvings. Less crowded alternative to Sigiriya.,Year-round,LKR 500 for foreigners,2-3 hours,rock climbing,historical exploration,photography,Kurunegala,Dambadeniya,Panduwasnuwara,7.9167,80.3667,,
dest_046,Mannar Island,Cultural & Nature,Northern Province,Mannar,"Remote island with unique culture, ancient baobab trees, and bird sanctuaries. Adam's Bridge (Rama Setu) connects to India. Rich marine biodiversity.",October to April,Free,2-3 days,island exploration,bird watching,cultural tours,Talaimannar,Giant's Tank,Thiruketheeswaram Temple,8.9806,79.9044,beach visits,
dest_047,Ambuluwawa Tower,Scenic & Religious,Central Province,Kandy,"Multi-religious complex on mountain peak with spiral tower offering 360-degree views. Unique architecture combining Buddhist, Hindu, Muslim, and Christian elements.","Year-round, clear days best","LKR 100 for locals, higher for foreigners",2-3 hours,tower climbing,panoramic views,photography,Gampola,Kandy,Kadugannawa,7.2167,80.5667,meditation,
dest_048,Pidurangala Rock,Nature & Hiking,Central Province,Matale,Ancient rock temple with easier climb than Sigiriya. Stunning sunrise views with Sigiriya Rock in foreground. Giant reclining Buddha statue.,"Year-round, sunrise climb popular",LKR 500,2-3 hours,hiking,sunrise viewing,photography,Sigiriya,Dambulla,Minneriya,7.9686,80.7564,temple visits,
dest_049,Lipton's Seat,Hill Country & Tea,Uva Province,Badulla,Viewpoint where Sir Thomas Lipton surveyed his tea empire. Panoramic views of southern hill country and plains. Scenic drive through tea plantations.,January to March for clear views,Free,Half day including travel,scenic viewing,photography,tea estate exploration,Haputale,Dambatenne Tea Factory,Adisham Monastery,6.7833,80.9333,,
dest_050,Uda Walawe Reservoir,Nature & Scenic,Sabaragamuwa Province,Ratnapura,Large reservoir within Udawalawe National Park. Scenic water body attracting elephants and waterbirds. Boat rides available in some sections.,Year-round,Included with park entry,Part of safari,wildlife viewing,photography,bird watching,Udawalawe National Park,Elephant Transit Home,,6.45,80.8833,,
dest_051,Kalutara,Beaches & Religious,Western Province,Kalutara,Coastal town famous for large Buddhist stupa (Kalutara Bodhiya) and beaches. Important for manufacturing quality incense. Kalu Ganga river meets ocean here.,November to April,Free,1 day,beach visits,temple visits,water sports,Richmond Castle,Fa Hien Cave,Kalutara Beach,6.5854,79.9607,river activities,
dest_052,Gal Oya National Park,Wildlife & Adventure,Eastern Province,Ampara,Only park in Sri Lanka where boat safaris are conducted. Senanayake Samudraya reservoir. Elephants swim between islands. Remote and less visited.,"March to July, December to January",USD 20-25 per person plus boat charges,Full day,boat safari,elephant watching,trekking,Ampara,Lahugala National Park,Arugam Bay,7.25,81.4,camping,
dest_053,Ravana Cave,Historical & Mythological,Uva Province,Badulla,Cave associated with Ramayana epic where King Ravana supposedly hid Princess Sita. Temple inside cave with Buddha statues. Climb offers views of Ella valley.,Year-round,Small donation,1-2 hours,cave exploration,temple visits,mythology learning,Ravana Falls,Ella town,Dowa Rock Temple,6.855,81.0469,hiking,
dest_054,Dondra Head Lighthouse,Coastal & Historical,Southern Province,Matara,Southernmost point of Sri Lanka with historic lighthouse built in 1889. Tall lighthouse offering coastal views. Near Dondra temple ruins.,Year-round,Small fee for lighthouse climb,1-2 hours,lighthouse climbing,photography,coastal walks,Matara,Dondra Temple,Weligama,5.9233,80.5878,,
dest_055,Ramboda Falls,Nature & Scenic,Central Province,Nuwara Eliya,109-meter high waterfall on Colombo-Nuwara Eliya highway. Series of cascades surrounded by tea plantations. Associated with Ramayana legend.,"Year-round, best during monsoon",Free (viewpoint),30 minutes - 1 hour,waterfall viewing,photography,tea tasting nearby,Nuwara Eliya,Ramboda Tunnel,Labookellie Tea Estate,7.0544,80.7561,,
dest_056,Belilena Cave,Archaeological & Historical,Sabaragamuwa Province,Kegalle,"Prehistoric cave with evidence of human habitation 32,000 years ago. Important archaeological site. Balangoda Man skeletal remains discovered here.",Year-round,Small fee,1-2 hours,cave exploration,archaeological learning,history education,Kitulgala,Kelani River,Makandawa Forest,7.0833,80.4167,,
dest_057,Kitulgala,Adventure & Nature,Sabaragamuwa Province,Kegalle,Adventure capital of Sri Lanka famous for white-water rafting on Kelani River. Rainforest location where 'Bridge on River Kwai' was filmed. Rich birdlife.,May to December for rafting,Activity charges apply,1-2 days,white-water rafting,canyoning,bird watching,Makandawa Forest,Belilena Cave,Kelani Valley,6.9833,80.4167,trekking,
dest_058,Belihuloya,Hill Country & Adventure,Sabaragamuwa Province,Ratnapura,"Small mountain village with stunning scenery and waterfalls. Gateway to Horton Plains. Ideal for hiking, camping, and nature activities.","January to March, July to September",N/A (village),1-2 days,hiking,camping,waterfall visits,Bambarakanda Falls,Horton Plains,Samanalawewa Reservoir,6.7167,80.7333,village tours,
dest_059,Bambarakanda Falls,Nature & Waterfalls,Uva Province,Badulla,Tallest waterfall in Sri Lanka at 263 meters (863 feet). Surrounded by pine forests with trekking trail to base. Remote location with pristine natural beauty.,"March to May, November to December",Small fee,2-3 hours including trek,waterfall viewing,trekking,photography,Belihuloya,Kalupahana,Horton Plains,6.8167,80.9833,nature walks,
dest_060,Madu River,Nature & Eco-tourism,Southern Province,Galle,"Wetland ecosystem with mangroves, islands, and biodiversity. Boat safari through narrow waterways. Cinnamon islands and fish therapy available.",Year-round,Boat tour charges,2-3 hours,boat safari,mangrove exploration,island visits,Balapitiya,Bentota,Hikkaduwa,6.3,80.05,bird watching,
dest_061,Delft Island,Cultural & Remote,Northern Province,Jaffna,"Remote island accessible by boat from Jaffna. Wild ponies, coral walls, Dutch colonial ruins, and unique culture. Baobab trees and ancient Buddhist ruins.",November to March,Ferry charges apply,Full day,island exploration,cultural tours,wildlife watching,Jaffna,Nainativu Island,Kayts,9.5,79.75,photography,
dest_062,Nainativu Island,Religious & Cultural,Northern Province,Jaffna,Sacred island with important Buddhist and Hindu temples. Nagadipa Purana Vihara and Naga Pooshani Amman Temple. Pilgrimage site for both religions.,Year-round,Free (donations accepted),Half day,temple visits,pilgrimage,cultural exploration,Jaffna,Delft Island,Pungudutivu,9.5667,79.8333,,
dest_063,Dickwella Beach,Beaches & Coastal,Southern Province,Matara,Quiet beach with natural rock pools and nearby Wewurukannala Temple. Less crowded southern beach with authentic fishing village atmosphere.,November to April,Free,1-2 days,beach relaxation,swimming,rock pool exploration,Wewurukannala Temple,Hoo-maniya Blowhole,Tangalle,5.9667,80.7,temple visits,
dest_064,Hoo-maniya Blowhole,Natural Wonder,Southern Province,Hambantota,Natural blowhole where waves force water up to 25 meters high through rock formation. Second largest blowhole in world. Impressive during rough seas.,May to September for best displays,Small fee,1 hour,natural phenomenon viewing,photography,coastal walks,Dickwella,Kudawella,Tangalle,5.9475,80.7128,,
dest_065,Kithulgala Rain Forest,Nature & Eco-tourism,Sabaragamuwa Province,Kegalle,Dense tropical rainforest with high biodiversity. Endemic bird species and mammals. Part of Sinharaja buffer zone with trekking opportunities.,"January to April, August to September",Guide fees apply,Half to full day,rainforest trekking,bird watching,wildlife spotting,Kitulgala town,Kelani River,Makandawa Forest,6.99,80.41,nature photography,
dest_066,Casuarina Beach (Karainagar),Beaches & Remote,Northern Province,Jaffna,Beautiful white sand beach lined with casuarina trees. Shallow clear waters ideal for swimming. Remote northern beach with peaceful atmosphere.,November to March,Free,Half day,swimming,beach relaxation,shell collecting,Jaffna,Keerimalai Springs,Point Pedro,9.8167,80.0167,photography,
dest_067,Maduru Oya National Park,Wildlife & Remote,Eastern Province,Ampara,"Remote national park protecting ancient reservoirs and archaeological sites. Elephants, deer, and Vedda settlements. Less visited wilderness area.",February to October,USD 15-20 per person,Full day,wildlife safari,archaeological tours,cultural visits,Mahiyangana,Vedda villages,Gal Oya,7.5,81,camping,
dest_068,Wasgamuwa National Park,Wildlife & Nature,Central Province,Matale,"National park with large elephant herds and diverse wildlife. Mix of grassland, forest, and wetland habitats. Less crowded alternative to popular parks.",June to September,USD 20 per person plus jeep charges,Half day safari,wildlife safari,elephant watching,bird watching,Mahiyangana,Victoria Reservoir,Knuckles Range,7.7333,80.9333,,
dest_069,Nalanda Gedige,Historical & Archaeological,Central Province,Matale,Unique stone building combining Hindu and Buddhist architecture. Ancient structure possibly from 8th-10th century. Only complete stone building from ancient era.,Year-round,LKR 500 for foreigners,1 hour,archaeological exploration,photography,historical learning,Aluvihare Rock Temple,Matale town,Sigiriya,7.6808,80.7439,,
dest_070,Aluvihare Rock Temple,Religious & Historical,Central Province,Matale,Historic temple where Buddhist scriptures were first written down on palm leaves. Cave temple with important religious significance. Ancient library ruins.,Year-round,Free (donations accepted),1-2 hours,temple visits,religious history learning,meditation,Matale town,Nalanda Gedige,Dambulla,7.4833,80.6167,,
dest_071,Buduruwagala,Historical & Archaeological,Uva Province,Monaragala,"Ancient Buddhist rock sculptures carved into cliff face. Seven statues including 16-meter tall Buddha, largest in Sri Lanka. Dating from 9th-10th century.",Year-round,LKR 500 for foreigners,1-2 hours,archaeological exploration,photography,historical study,Wellawaya,Ella,Yala National Park,6.55,81.0833,,
dest_072,Rekawa Beach,Beaches & Conservation,Southern Province,Hambantota,Important sea turtle nesting site for all five species found in Sri Lanka. Night turtle watching tours available. Pristine beach with conservation focus.,"Year-round for turtles, November-April for beach",Turtle watching tour charges,Half day or overnight,turtle watching,beach relaxation,conservation learning,Tangalle,Ussangoda National Park,Kalametiya,6.0667,80.8167,,
dest_073,Ussangoda National Park,Nature & Geology,Southern Province,Hambantota,Unique red-soil coastal plateau with unusual vegetation. Meteorite impact site theory. Sacred site with archaeological findings. Stunning coastal views.,Year-round,Small fee,1-2 hours,geological exploration,photography,coastal walks,Tangalle,Rekawa,Kalametiya Bird Sanctuary,6.1,80.8833,archaeology,
dest_074,Kalametiya Bird Sanctuary,Wildlife & Bird Sanctuary,Southern Province,Hambantota,Coastal lagoon and wetland bird sanctuary. Over 150 bird species including migratory and resident waterbirds. Mangroves and salt marshes.,November to March,Small fee,Half day,bird watching,boat tours,wildlife photography,Tangalle,Rekawa,Ussangoda,6.0833,80.9333,nature walks,
dest_075,Keerimalai Springs,Cultural & Natural,Northern Province,Jaffna,Natural spring-fed pool with religious significance. Hindu temple nearby. Freshwater springs right by the ocean. Local pilgrimage site.,Year-round,Free,1-2 hours,swimming in springs,temple visits,cultural immersion,Nagadipa Temple,Casuarina Beach,Point Pedro,9.85,80.0333,,
dest_076,Talaimannar,Coastal & Historical,Northern Province,Mannar,Northwestern coastal town at tip of Mannar Island. Adam's Bridge begins here. Historic ferry terminal and lighthouse. Pristine beaches.,October to March,Free,1 day,beach visits,lighthouse viewing,fishing,Mannar Island,Adam's Bridge,Baobab trees,9.1167,79.7167,coastal walks,
dest_077,Bogoda Wooden Bridge,Historical & Architecture,Uva Province,Badulla,Ancient wooden cantilever bridge with temple roof. Only remaining covered wooden bridge in Sri Lanka. Dating back to 16th century over Gallanda Oya.,Year-round,Free,30 minutes - 1 hour,historical appreciation,photography,architecture study,Badulla town,Dunhinda Falls,Muthiyangana Temple,6.9833,81.05,,
dest_078,Dunhinda Falls,Nature & Waterfalls,Uva Province,Badulla,63-meter high waterfall creating misty spray. Name means 'smoky waterfall' in Sinhala. Scenic forest walk to reach falls. Popular among locals.,October to May,Small fee,2-3 hours including walk,waterfall viewing,nature walking,photography,Badulla town,Bogoda Bridge,Dhowa Rock Temple,6.97,81.08,swimming,
